,E01018218,E01018219,E01018220,E01018221,E01018222,E01018223,E01018224,E01018225,E01018226,E01018227,E01018228,E01018231,E01018232,E01032611,E01018233,E01018234,E01018235,E01018236,E01018237,E01018238,E01018239,E01018240,E01018241,E01018242,E01018243,E01018244,E01018245,E01018246,E01018247,E01018248,E01018249,E01018250,E01018251,E01018252,E01018253,E01018254,E01018255,E01018256,E01018257,E01018258,E01018259,E01018260,E01018262,E01018263,E01018264,E01018265,E01018266,E01018267,E01018268,E01018269,E01018270,E01018271,E01018272,E01018273,E01018274,E01018275,E01018276,E01018277,E01017943,E01018278,E01017944,E01018279,E01017945,E01018280,E01017946,E01018281,E01017947,E01018282,E01017948,E01018283,E01017949,E01018284,E01017950,E01018285,E01017951,E01018286,E01017952,E01018287,E01017953,E01018288,E01017954,E01018289,E01017955,E01018290,E01017956,E01018291,E01017957,E01018292,E01017958,E01018293,E01017959,E01018294,E01017960,E01018295,E01033425,E01017961,E01018296,E01033426,E01017962,E01018297,E01033113,E01033427,E01017963,E01018298,E01033114,E01033428,E01017964,E01018299,E01033115,E01033429,E01017965,E01018300,E01033116,E01033430,E01017966,E01018301,E01033117,E01017967,E01018302,E01033118,E01017968,E01018303,E01033119,E01017969,E01018304,E01033120,E01017971,E01018305,E01033121,E01017972,E01018306,E01017973,E01018307,E01017974,E01017975,E01017976,E01017977,E01017978,E01017979,E01017980,E01017983,E01017984,E01017985,E01017986,E01017987,E01017988,E01017989,E01017990,E01017991,E01017992,E01017993,E01017994,E01017995,E01017996,E01017997,E01017998,E01017999,E01018000,E01018001,E01018002,E01018003,E01018005,E01018006,E01018007,E01018008,E01018009,E01018010,E01018011,E01018012,E01018013,E01018014,E01018015,E01018016,E01018017,E01018019,E01018020,E01018021,E01018022,E01018023,E01018024,E01018025,E01018026,E01018027,E01018029,E01018030,E01018032,E01018033,E01018034,E01018035,E01018036,E01018037,E01018038,E01018039,E01018040,E01018041,E01018042,E01018043,E01018044,E01018045,E01018046,E01018047,E01018049,E01018050,E01018051,E01018052,E01018053,E01018054,E01018055,E01018056,E01018057,E01032792,E01032794,E01032795,E01032797,E01032802,TOTAL
E01018246,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,36,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
E01018247,0,0,0,0,2,2,0,0,8,4,2,4,2,0,8,0,0,4,2,0,0,0,2,2,2,0,58,74,74,6,0,0,2,2,0,0,4,0,0,0,0,0,0,0,4,0,6,8,8,0,4,0,0,2,4,20,2,2,2,4,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,2,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,6,2,0,0,2,0,0,2,0,0,4,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,2,0,0,420
E01018248,0,2,2,16,6,10,6,2,0,4,2,2,16,0,2,8,2,6,20,0,0,4,4,2,2,2,0,2,10,38,16,32,0,2,0,0,4,6,10,10,4,12,6,4,0,0,16,0,0,2,0,2,0,4,2,6,4,4,6,2,2,0,6,2,0,0,6,2,4,0,2,10,4,0,2,0,2,8,4,4,4,0,12,4,12,0,4,2,4,0,0,0,0,2,0,2,2,2,0,2,0,0,0,4,2,0,0,8,0,0,2,0,6,2,0,0,4,0,0,4,4,0,2,2,8,8,6,2,10,2,4,2,12,10,8,0,14,4,0,12,2,6,4,0,2,10,6,2,0,0,2,2,0,2,4,10,4,8,2,0,4,2,2,6,8,4,10,4,0,6,4,0,6,0,2,2,0,0,0,0,0,2,0,8,2,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,4,2,0,2,2,2,12,6,0,6,10,4,772
E01018249,0,0,4,2,0,0,0,0,0,2,0,4,0,0,2,4,2,4,16,2,0,2,0,0,0,0,2,0,0,6,22,28,4,0,2,2,0,4,2,6,4,6,8,0,0,0,6,0,0,0,0,2,4,4,4,0,0,0,2,2,0,6,6,0,0,0,2,0,0,6,0,0,0,6,0,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,2,4,2,0,0,0,2,0,0,4,0,14,4,2,2,0,2,4,4,6,2,0,2,0,2,4,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,4,4,2,0,0,2,4,2,0,4,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,326
E01018250,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
E01018251,0,0,0,2,2,6,4,0,0,2,4,12,6,0,4,2,0,4,0,0,0,0,0,0,0,0,0,2,0,6,0,0,46,38,0,2,2,2,0,6,0,2,2,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,6,0,0,0,0,2,0,4,2,2,0,0,2,0,0,0,4,2,0,4,0,0,0,0,2,0,2,0,0,0,0,2,4,0,0,0,0,0,2,2,2,0,2,4,0,4,0,0,4,0,0,0,0,2,0,2,0,2,0,0,0,2,0,2,0,2,0,0,0,0,0,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,2,0,2,0,0,2,274
E01018252,2,0,0,0,0,4,6,0,0,0,0,10,2,0,0,2,2,4,2,2,2,0,0,0,0,2,0,0,2,0,0,0,4,10,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,2,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,4,0,2,0,2,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,120
E01018253,4,2,4,0,8,4,6,0,4,8,0,12,12,0,8,4,0,0,2,8,8,16,10,2,6,6,4,0,6,10,0,12,12,2,34,22,6,20,6,2,2,4,4,4,6,2,2,14,2,6,14,4,12,8,4,16,6,2,4,2,0,6,2,6,8,8,0,2,2,8,4,8,2,4,4,2,2,6,4,0,2,0,2,16,10,24,8,14,0,18,4,8,2,6,2,4,4,0,4,10,6,0,0,0,2,2,6,2,12,0,4,4,0,0,8,4,4,4,6,4,2,2,8,2,4,6,0,2,12,2,0,2,6,2,4,6,2,0,2,4,0,2,4,0,4,6,6,10,0,0,0,4,2,2,14,10,8,8,4,2,2,4,10,6,6,2,8,6,6,0,4,2,4,2,0,2,0,0,2,0,0,2,0,2,0,0,0,0,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,8,4,0,4,0,0,938
E01018254,0,2,0,0,0,6,2,0,0,2,0,2,2,0,0,0,2,2,0,6,2,8,0,0,2,0,0,0,2,0,0,0,2,0,2,20,2,4,0,0,0,0,2,0,2,2,2,0,6,2,0,0,0,0,0,6,2,0,0,2,0,6,0,0,0,0,0,2,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,2,0,0,4,2,0,0,2,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,4,0,0,0,0,2,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,184
E01018255,0,0,0,0,0,0,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,0,2,0,4,0,16,2,0,0,0,0,0,0,0,0,2,0,2,2,0,4,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
E01018256,2,6,2,4,0,0,0,2,2,0,0,0,2,2,0,0,6,4,0,0,0,6,4,0,0,0,2,0,0,0,0,0,4,0,8,2,8,38,0,0,0,0,2,0,2,0,0,2,6,2,2,0,2,4,0,4,4,4,0,8,0,0,0,2,2,6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,224
E01018257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
E01018258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,52
E01018259,6,6,2,32,14,12,4,2,2,2,0,10,6,2,14,20,20,26,24,0,2,4,2,6,4,0,0,0,4,2,8,12,12,2,4,10,4,10,56,38,52,54,90,4,0,2,30,4,2,0,0,0,20,14,8,8,14,10,2,4,6,0,0,0,4,0,4,0,0,4,6,4,6,10,10,6,8,0,4,0,14,2,16,8,2,4,4,2,4,8,4,6,0,2,8,2,4,4,4,6,6,10,0,6,6,6,2,14,0,4,6,6,10,2,2,8,4,2,6,4,8,2,8,4,18,24,4,6,22,4,18,10,18,4,6,12,8,6,4,2,6,4,4,0,8,0,6,4,0,6,12,2,2,8,6,4,0,6,10,4,2,0,6,10,6,12,16,10,6,2,12,6,0,2,6,4,6,6,0,4,2,2,2,8,0,0,6,4,2,10,10,6,8,8,2,0,4,0,0,6,10,4,8,4,8,6,14,12,12,8,10,4,4,2,6,1570
E01018260,2,8,2,38,20,20,16,2,0,6,0,20,14,2,48,34,38,40,44,10,6,4,4,6,4,4,10,6,2,24,34,8,26,26,6,8,4,10,130,108,74,156,108,6,4,2,38,8,16,6,2,8,18,32,30,20,6,16,14,10,10,2,24,4,8,6,26,2,16,12,16,14,8,20,28,10,24,12,16,0,16,2,14,12,10,10,12,8,6,2,14,4,12,4,12,0,2,14,14,12,8,2,6,8,32,24,8,32,8,6,6,10,16,12,8,8,20,4,4,14,2,6,24,4,26,40,14,12,48,18,18,12,66,8,20,20,34,22,8,28,12,6,12,6,4,4,10,8,4,6,6,8,2,8,14,16,20,14,10,20,10,10,10,16,2,22,6,16,8,12,8,6,0,14,2,8,6,10,12,4,8,14,8,36,4,16,2,2,8,14,12,12,18,4,2,4,10,4,4,2,6,8,4,6,6,6,22,20,18,8,16,4,8,22,4,3186
E01018262,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,6,6,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,8,10,10,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,4,0,0,0,8,12,0,0,0,0,0,2,0,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
E01018263,40,32,38,2,0,4,2,8,0,2,2,4,4,2,2,2,2,0,4,0,4,12,4,8,0,14,2,2,4,4,0,0,2,6,6,2,4,12,4,4,2,4,0,90,124,100,4,4,6,8,4,4,8,2,0,0,0,0,8,0,8,8,8,2,8,16,2,14,4,6,4,0,16,4,4,2,2,4,0,20,12,8,2,4,0,4,0,14,2,0,0,6,0,8,4,6,8,0,6,6,0,2,2,0,0,0,4,0,2,0,2,0,0,0,2,0,0,0,4,0,8,4,4,4,4,4,4,2,2,2,0,2,2,2,4,4,2,2,2,2,2,0,0,2,4,2,6,2,4,6,6,8,6,6,0,6,4,10,2,4,2,4,4,6,0,2,4,20,0,2,0,4,2,0,2,0,0,0,12,0,0,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,6,6,0,2,2,0,0,4,0,2,2,2,0,0,2,1094
E01018264,8,0,6,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,44,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,112
E01018265,10,4,8,2,0,0,0,0,2,0,2,2,2,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,28,44,46,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,220
E01018266,4,0,0,18,10,2,2,0,0,0,0,6,0,0,4,4,4,6,4,4,0,0,0,0,4,2,2,0,0,0,0,0,0,2,0,4,0,0,4,6,6,4,4,0,4,4,68,0,2,0,2,0,2,2,0,2,2,16,0,0,0,0,0,0,2,0,2,0,2,0,6,10,0,10,0,0,0,0,2,0,2,0,0,0,0,2,0,4,0,4,4,2,2,2,0,2,0,0,0,2,2,2,2,0,4,4,2,4,2,6,0,0,0,0,2,2,0,4,4,2,0,0,4,0,10,0,0,12,0,2,18,0,26,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,2,2,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,2,2,0,6,2,2,2,4,6,0,0,0,2,2,0,0,0,0,4,8,6,0,0,2,2,4,0,2,2,0,0,0,2,0,2,4,18,2,2,2,0,2,2,0,506
E01018267,0,8,2,6,2,0,6,4,18,32,16,16,10,2,10,4,10,4,4,8,2,38,26,0,4,0,0,2,12,8,2,0,2,12,18,12,6,16,2,8,6,6,4,4,10,20,10,210,102,150,36,60,4,2,6,52,2,12,2,10,2,8,6,4,8,0,4,14,4,6,0,0,6,2,0,8,2,0,2,2,0,0,2,18,4,16,8,10,4,0,4,4,2,10,0,2,0,0,10,6,10,0,2,2,12,2,2,4,0,0,2,4,6,0,4,2,14,6,10,6,6,10,18,0,8,0,2,4,2,0,4,2,2,2,0,2,2,0,6,2,2,6,2,0,0,6,2,4,2,8,4,6,0,2,8,2,0,4,4,4,4,2,0,2,0,0,6,6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,6,0,2,4,2,2,4,0,0,4,1508
E01018268,4,2,0,0,0,2,4,2,2,24,18,4,8,2,4,2,6,0,4,6,6,26,20,0,8,0,0,0,6,6,2,0,0,0,16,6,2,0,0,2,0,0,4,0,0,2,2,42,48,26,16,4,2,0,6,12,4,0,0,0,0,4,0,0,0,0,2,6,2,4,2,2,2,2,4,2,0,0,0,0,0,2,0,2,2,2,2,2,0,10,0,0,0,16,0,2,6,2,4,0,2,0,0,0,6,0,2,6,14,0,4,4,2,0,6,0,2,0,10,0,2,6,4,2,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,2,4,0,2,0,4,0,8,2,2,2,2,2,2,2,2,2,2,0,0,4,4,0,0,2,0,4,4,4,2,0,2,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,0,2,0,0,628
E01018269,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,2,0,0,0,0,4,0,0,12,4,30,4,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
E01018270,0,0,2,0,0,0,2,0,10,24,14,4,6,0,0,6,0,0,0,0,2,24,16,0,0,0,0,0,2,0,0,0,2,2,14,14,4,4,2,0,2,0,4,2,2,6,2,34,20,26,40,52,0,2,0,20,2,4,0,2,2,0,0,2,0,0,4,4,2,0,0,4,0,0,0,2,0,0,0,2,0,0,0,4,0,2,0,4,0,2,0,2,0,2,0,0,4,0,0,0,2,2,0,0,0,0,0,2,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,478
E01018271,0,2,0,2,2,2,4,0,10,38,26,0,4,0,2,2,2,0,0,6,2,10,26,0,2,4,2,8,2,0,2,0,0,0,6,2,4,10,0,0,2,2,0,2,0,0,4,30,36,40,36,138,2,2,0,16,2,0,0,0,0,0,2,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,24,0,0,0,4,0,0,0,2,0,0,0,0,2,6,0,0,4,0,2,2,2,2,0,0,4,0,0,0,2,0,0,0,8,2,4,0,2,0,2,0,0,0,2,6,10,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,4,2,0,0,0,0,2,0,0,0,626
E01018272,0,2,0,0,8,4,0,0,0,0,0,2,0,2,2,2,4,8,4,0,0,6,0,0,2,2,0,0,0,0,2,0,0,6,0,2,0,0,0,0,4,4,8,0,4,0,2,0,0,0,0,0,28,16,40,4,0,4,6,0,0,0,2,0,2,8,2,4,2,0,0,0,0,2,2,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,8,2,2,0,2,0,0,2,6,0,0,0,8,0,2,0,8,0,0,0,0,0,0,0,2,4,4,0,0,6,2,2,2,10,4,0,2,4,4,4,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,2,0,2,2,2,4,0,6,2,4,2,0,0,0,2,4,0,2,0,0,2,0,0,2,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,4,6,0,12,4,6,0,0,6,0,406
E01018273,2,4,2,10,8,16,2,4,4,4,0,12,14,2,16,20,18,12,6,2,0,0,6,0,6,0,4,0,2,4,2,8,6,16,2,4,2,4,4,8,20,16,16,0,2,2,12,2,2,2,4,6,28,50,50,2,4,4,2,4,4,0,0,4,6,0,4,6,14,0,8,2,4,6,18,6,16,10,6,6,10,0,4,2,2,4,2,2,2,2,2,6,2,6,4,4,8,2,6,8,0,0,8,16,0,10,8,24,6,8,4,6,8,2,0,8,2,0,8,12,2,2,10,6,10,2,20,6,2,12,8,18,6,8,16,14,4,10,12,8,4,4,4,0,2,0,2,0,6,0,0,8,2,0,8,4,12,8,4,8,6,2,8,6,6,10,2,10,4,6,8,6,6,2,10,2,8,8,2,4,4,0,2,4,0,10,0,4,6,18,8,2,6,4,2,4,6,8,10,4,0,4,2,2,2,6,22,12,4,10,10,0,0,6,16,1358
E01018274,18,10,8,28,38,42,14,16,10,14,6,72,50,18,58,56,62,72,36,20,24,28,4,18,34,12,16,8,18,50,30,36,36,22,16,18,28,26,44,72,56,80,62,6,16,30,74,30,26,14,18,22,104,94,186,18,20,30,82,24,52,22,78,16,26,24,20,18,26,16,44,58,44,34,54,44,32,14,52,20,40,2,58,14,32,10,40,26,18,16,34,32,10,20,70,18,12,52,14,44,24,30,20,52,48,40,14,62,36,28,34,60,28,12,56,66,38,28,24,34,28,14,74,30,58,110,98,42,246,92,38,78,100,104,66,156,104,60,90,108,44,22,28,10,24,26,92,40,26,24,28,32,26,14,62,52,38,40,38,22,16,32,120,66,54,68,96,34,30,20,50,18,26,12,6,18,28,32,18,10,20,16,18,66,12,56,38,16,20,36,36,38,16,10,10,14,20,4,10,22,10,24,10,20,14,36,90,44,22,28,74,18,22,36,90,8324
E01018275,0,2,0,4,2,0,6,4,8,20,10,10,10,0,0,2,0,2,4,4,0,4,10,0,0,0,0,0,24,0,0,0,0,4,0,4,8,8,0,0,4,6,2,0,0,2,0,10,4,6,12,14,0,2,2,112,0,0,4,4,0,0,0,0,0,2,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,12,0,2,0,2,0,0,0,4,0,0,0,0,0,2,0,0,8,0,2,0,6,2,0,2,0,0,2,2,2,0,0,2,4,0,2,0,0,0,10,0,2,4,0,0,4,2,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,2,8,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,466
